Code dossier BHL,Rubrique courte,Sexe,Statut,Statut religieux,Rubrique,Relations : Dossiers BHL / Codes BHL,Relations : Dossiers BHL / Saints,type.canondate
Adventor,Adventor et soc. m. leg. Theb.,homme,laïc,séculier,"Adventor, Octavius et Solutor m. leg. Theb.","['BHL 0085 | Passio', 'BHL 0086 | Passio (adscripta Guilelmo ep. Taurinensi)', 'BHL Adventor |']","['Adventor (57)', 'Octavius (2298)', 'Solutor (2894)']",
Aegidius01,Aegidius Assisinas,homme,ecclésiastique,régulier,Aegidius Assisinas,"['BHL 0086b | Vita (auct. fr. Leone ?)', 'BHL 0086c | Appendix (""Quaedam verba Fr. Aegidii"")', 'BHL 0086d | Appendix (""Quaedam verba Fr. Aegidii""). Inc. b', 'BHL 0087 | Vita (INSERT IGNORE a in chronica XXIV generalium Ord. Min.)', 'BHL 0088 | Vita', 'BHL 0089 | Aurea verba b. Aegidii', 'BHL 0090 | Aurea verba b. Aegidii', 'BHL 0091 | Gesta et dicta', 'BHL 0091b | Vita et dicta ex prima compilatione Barcinonensi', 'BHL 0091c | Vita et Dicta ex altera compilatione Barcinonensi', 'BHL 0092 | Miracula', 'BHL 0092a | Epitomae vitae', 'BHL 0092b | Epitomae Vitae', 'BHL 0092c | Appendix', 'BHL 0092d | Vitae epitome', 'BHL 0092e | Exempla (ex ""libro exemplorum"")', 'BHL 0092f | Exempla. b.', 'BHL Aegidius01 |']",['Aegidius (58)'],
Aegidius02,Aegidius ab. in Occitania,homme,ecclésiastique,régulier,Aegidius ab. in Occitania,"['BHL 0093 | Vita', 'BHL 0094 | Vita', 'BHL 0095 | Vita', 'BHL 0096 | Vita', 'BHL 0096b | Vita', 'BHL 0096c | Vita', 'BHL 0096cd | Vita metrica', 'BHL 0096d | Vita metrica', 'BHL 0097 | Miracula auct. Petro Guilelmo', 'BHL 0098 | Translatio Brunsvicum saec. XII', 'BHL 0098b | Miraculum', 'BHL Aegidius02 |']",['Aegidius (59)'],
Aemilianus01,Aemilianus conf. in Aquitania,homme,ecclésiastique,séculier,Aemilianus conf. in Aquitania,"['BHL 0099 | Vita', 'BHL Aemilianus01 |']",['Aemilianus (60)'],
Aemilianus02,Aemilianus Cucullatus,homme,ecclésiastique,séculier,Aemilianus Cucullatus conf. in Tarracone,"['BHL 0100 | Vita auct. Braulione', 'BHL 0100d | Epitome auct. Roderico Cerrat', 'BHL 0101 | Vitae epitome', 'BHL 0102 | Translatio an. 1030 auct. Ferdinando mon.', 'BHL 0103 | Miracula auct. Ferdinando mon.', 'BHL 0104 | Miraculum (de offerendis b. Aemiliani) auct. Ferdinando mon.', 'BHL Aemilianus02 |']",['Aemilianus (61)'],
Aemilianus03,Aemilianus cultus Faventiae,homme,ecclésiastique,séculier,Aemilianus ep. (Scotus ?) cultus Faventiae,"['BHL 0104b | Vita et miracula', 'BHL 0104c | Vita et miracula. a. (auct. Petro Calo = BHL 9039, c. 798). II', 'BHL 0104d | (auct. Iohanne Antonio Flaminio)', 'BHL 0104e | Vita et miracula auct. Iohanne Antonio Flaminio. II', 'BHL Aemilianus03 |']",['Aemilianus (62)'],
Aemilianus04,Aemilianus ep. Namnetensis,homme,ecclésiastique,séculier,Aemilianus ep. Namnetensis m.,"['BHL 0105 | Passio', 'BHL Aemilianus04 |']",['Aemilianus (63)'],
Aemilianus05,Aemilianus et Brachio,homme,indéterminé,mixte,Aemilianus erem. Ponticiacensis et Brachio ab. Manatensis,"['BHL 0106 | Vita auct. Gregorio Turonensi', 'BHL Aemilianus05 |']","['Aemilianus (64)', 'Brachio (554)']",
Aemilianus06,Aemilianus Armenus,homme,ecclésiastique,séculier,Aemilianus Armenus ep. m. in Umbria,"['BHL 0107 | Passio', 'BHL Aemilianus06 |']",['Aemilianus (65)'],
Afra01,Afra et soc. m. Augustae Vindelicorum,femme,laïc,séculier,"Afra, Hilaria, Digna, Eumenia, Euprepia m. Augustae Vindelicorum","['BHL 0107b | Passio (recensio brevior et antiquior)', 'BHL 0107c | Passio', 'BHL 0107d | Alia initia eiusdem passionis', 'BHL 0107e | Alia initia eiusdem Passionis. b', 'BHL 0107f | Alia initia eiusdem Passionis. g', 'BHL 0108 | Conversio et passio', 'BHL 0109 | Conversio et passio', 'BHL 0110 | Prologus Adilberti prioris Augustani (saec. XIII) in haec Acta', 'BHL 0111 | Additamentum ad passionem, de nonnullis sanctis eodem tempore passis', 'BHL 0112 | Additamentum aliud, de S. Afro patruo et S. Dionysio avunculo S. Afrae', 'BHL 0113 | Carmen auct. Flodoardo', 'BHL 0113d | Vita metrica', 'BHL 0113f | Vita metrica', 'BHL 0113g | ""Conversio et passio"" metrica', 'BHL 0114 | Epitome conversionis et passionis', 'BHL 0114c | Epitome Conversionis et Passionis', 'BHL 0115 | Inventio', 'BHL 0116 | Miracula', 'BHL Afra01 |']","['Afra (66)', 'Digna (847)', 'Eumenia (1047)', 'Euprepia (1059)', 'Hilaria (1508)']",
